id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PPIL2	4	7.9348e-05	0.00020301	0.124242	1	2	-1.0107	0.94333	0.92936	1.0	517	0	-1.0107
EIF3G	4	0.00017916	0.0005001	0.138095	2	4	-0.91581	0.99982	0.99974	1.0	551	0	-0.91581
DMD	4	0.00062718	0.0012428	0.138095	3	3	-1.0577	0.55161	0.51738	1.0	300	0	-1.0577
PLK1	4	0.00064029	0.0012428	0.138095	4	3	-1.0081	0.93911	0.9273	1.0	515	0	-1.0081
TSSBRCA2	4	0.00076724	0.0014805	0.138095	5	1	-0.38263	0.98822	0.98231	1.0	544	0	-0.38263
SNRNP200	3	0.00077087	0.0012032	0.138095	6	2	-1.0663	0.99404	0.99124	1.0	548	0	-1.0663
TSSCDH4	3	0.0010104	0.0015795	0.138095	7	3	-0.7412	0.99899	0.99878	1.0	550	0	-0.7412
candidate504	6	0.0020009	0.0052436	0.356566	8	3	-0.39757	0.99454	0.99113	1.0	549	0	-0.39757
RPL8	7	0.002099	0.0071747	0.399174	9	4	-0.58868	0.97489	0.96134	1.0	536	0	-0.58868
TGFBR2	4	0.0022392	0.004283	0.327652	10	3	-0.74218	0.64504	0.61947	1.0	344	0	-0.74218
TSSCELF1	4	0.0034478	0.010363	0.528535	11	2	-0.67014	0.70504	0.67075	1.0	379	0	-0.67014
TSSAAVS1	19	0.0045785	0.02198	0.747306	12	7	-0.23148	0.7423	0.83053	1.0	401	2	-0.23148
EHMT2	2	0.0049823	0.0060358	0.369394	13	1	-0.7021	0.95965	0.95049	1.0	529	0	-0.7021
candidate792	6	0.0054268	0.01475	0.577083	14	4	-0.55293	0.6886	0.66738	1.0	373	1	-0.55293
ADAT1	4	0.0057625	0.015087	0.577083	15	2	-0.23221	0.61595	0.59242	1.0	330	0	-0.23221
candidate71	3	0.0069469	0.011958	0.562937	16	2	-1.042	0.0074641	0.018543	0.628046	10	1	-1.042
candidate796	4	0.0083079	0.019959	0.718538	17	2	-0.64302	0.95818	0.94358	1.0	528	0	-0.64302
RPS15A	3	0.0098726	0.013869	0.577083	18	2	-0.69475	0.096309	0.11006	0.723868	95	1	-0.69475
candidate636	5	0.010508	0.025743	0.750505	19	1	0.053941	0.87994	0.83374	1.0	484	0	0.053941
candidate70	5	0.01065	0.025743	0.750505	20	3	-0.46373	0.23586	0.30411	0.971512	175	1	-0.46373
candidate933	5	0.011193	0.025753	0.750505	21	3	-0.4747	0.9806	0.97002	1.0	540	0	-0.4747
SMAD4	3	0.015406	0.029734	0.758207	22	2	-0.82248	0.93744	0.92302	1.0	514	0	-0.82248
CADM1	2	0.015671	0.027822	0.758207	23	1	-0.82244	0.68849	0.65012	1.0	372	0	-0.82244
LCP1	3	0.017011	0.031031	0.759636	24	2	-0.80653	0.94657	0.93368	1.0	518	0	-0.80653
PRDM1	2	0.017679	0.028872	0.758207	25	2	-0.61298	0.98232	0.97726	1.0	542	0	-0.61298
candidate513	6	0.019411	0.045796	0.854002	26	1	0.096191	0.80675	0.79199	1.0	435	0	0.096191
candidate726	5	0.01978	0.04638	0.854002	27	2	0.076039	0.19859	0.23735	0.859512	158	2	0.076039
WT1	5	0.019984	0.04638	0.854002	28	1	0.29051	0.078625	0.10343	0.723868	85	2	0.29051
TSSBCL6B	3	0.021532	0.035794	0.81156	29	2	-0.67889	0.61944	0.58257	1.0	334	0	-0.67889
KARS	3	0.021716	0.035804	0.81156	30	2	-0.56306	0.989	0.986	1.0	545	0	-0.56306
RAMP1	5	0.023754	0.062908	0.916667	31	1	-0.17536	0.80278	0.76753	1.0	432	0	-0.17536
candidate64	4	0.026472	0.051134	0.854002	32	2	-0.52474	0.45266	0.41334	0.996151	257	1	-0.52474
TSSCCND1	4	0.027734	0.053233	0.854002	33	2	-0.50871	0.8895	0.87226	1.0	488	0	-0.50871
candidate588	4	0.028161	0.053243	0.854002	34	2	-0.59494	0.93347	0.91525	1.0	511	0	-0.59494
TSSBECN1	3	0.028395	0.044479	0.854002	35	2	-0.74652	0.97878	0.97321	1.0	539	0	-0.74652
candidate577	5	0.02845	0.066483	0.918316	36	2	-0.025097	0.90558	0.86429	1.0	495	0	-0.025097
candidate955	3	0.028604	0.044479	0.854002	37	2	-0.54546	0.70972	0.63747	1.0	383	0	-0.54546
candidate73	4	0.030781	0.057601	0.859941	38	2	-0.41329	0.11235	0.13446	0.757018	111	1	-0.41329
candidate677	5	0.030786	0.072227	0.957419	39	2	-0.21428	0.044272	0.068108	0.686257	55	2	-0.21428
TSSATP7B	3	0.031166	0.048173	0.854002	40	2	-0.62948	0.90466	0.88103	1.0	494	0	-0.62948
TSSTGFB1	3	0.032929	0.050253	0.854002	41	2	-0.68746	0.00057548	0.00046049	0.140909	2	1	-0.68746
candidate500	5	0.033128	0.074812	0.957419	42	1	-0.19076	0.3746	0.3722	0.996151	218	1	-0.19076
SERPINB8	4	0.034091	0.05761	0.859941	43	1	0.0002777	0.52759	0.50146	1.0	288	1	0.0002777
GLTSCR2	3	0.035196	0.052203	0.854002	44	2	-0.65079	0.070238	0.093221	0.723868	72	1	-0.65079
candidate63	7	0.035704	0.096173	0.974714	45	1	-0.23148	0.36282	0.44332	1.0	215	1	-0.23148
candidate90	3	0.036949	0.054422	0.854002	46	2	-0.29599	0.15935	0.16832	0.787599	135	1	-0.29599
candidate525	6	0.037101	0.08822	0.957419	47	3	-0.48926	0.55678	0.53274	1.0	308	1	-0.48926
